size,clauses,kappa,time_iteration,memory (MB),formula
6,9,1,0.041504621505737305,0.13120079040527344,[(x_3 v -x_0) ^ (-x_1 v -x_5 v -x_2) ^ (x_2 v -x_0) ^ (x_0 v -x_5 v -x_2) ^ (x_3 v x_5 v -x_0) ^ (-x_1 v -x_5 v x_2) ^ (-x_1 v -x_5 v -x_0) ^ (x_3 v x_4) ^ (-x_2 v x_5)]
6,15,8,0.08909893035888672,0.4572792053222656,[(x_3 v x_4 v -x_0) ^ (-x_5 v x_4) ^ (x_0 v -x_2) ^ (x_1 v -x_5 v -x_3) ^ (-x_1 v -x_5) ^ (x_3 v -x_5 v x_0) ^ (x_4 v -x_0) ^ (-x_1 v x_4 v x_2) ^ (x_0 v x_1 v x_2) ^ (x_0 v x_2 v -x_3) ^ (x_1 v -x_0) ^ (-x_4 v -x_2 v x_5) ^ (-x_4 v x_2) ^ (-x_1 v -x_2 v -x_0) ^ (x_1 v x_5 v -x_0)]
7,12,1,0.03612709045410156,0.13933563232421875,[(x_5 v -x_6) ^ (-x_5 v x_4) ^ (-x_1 v x_2 v -x_3) ^ (x_3 v x_6 v x_4) ^ (x_3 v x_4 v x_5) ^ (x_0 v -x_3) ^ (x_0 v x_6 v -x_5) ^ (x_6 v x_5 v x_2) ^ (x_6 v x_5 v -x_3) ^ (x_5 v -x_3) ^ (x_3 v x_4 v -x_6) ^ (x_1 v -x_6 v -x_0)]
7,19,12,2.038574457168579,0.9291324615478516,[(x_3 v x_2 v x_5) ^ (x_3 v x_4 v x_5) ^ (x_6 v -x_2 v x_4) ^ (-x_4 v x_2 v -x_3) ^ (-x_1 v x_6 v -x_3) ^ (-x_1 v -x_2 v x_3) ^ (-x_2 v -x_5 v x_4) ^ (x_0 v -x_4 v -x_6) ^ (x_6 v -x_4) ^ (x_6 v x_5 v -x_0) ^ (x_6 v -x_3) ^ (-x_1 v -x_2) ^ (x_0 v x_4 v x_2) ^ (x_3 v x_4 v -x_2) ^ (x_0 v -x_2 v -x_6) ^ (-x_1 v -x_4 v -x_5) ^ (x_1 v x_5) ^ (x_3 v -x_4) ^ (x_3 v x_2)]
8,20,1,0.05100274085998535,0.17783451080322266,[(-x_4 v -x_3 v -x_6) ^ (-x_1 v x_5 v -x_0) ^ (-x_0 v -x_7 v -x_3) ^ (-x_4 v x_5) ^ (x_1 v -x_4 v x_7) ^ (x_6 v -x_4 v -x_0) ^ (x_3 v -x_6 v x_0) ^ (x_5 v x_2 v -x_3) ^ (x_7 v x_5 v x_4) ^ (x_0 v -x_1 v x_3) ^ (x_1 v -x_7 v x_4) ^ (x_6 v -x_4 v x_7) ^ (x_2 v -x_0) ^ (-x_1 v x_4 v x_5) ^ (-x_7 v x_5 v -x_0) ^ (-x_0 v x_7 v -x_3) ^ (x_3 v x_6 v x_0) ^ (x_0 v -x_4 v x_7) ^ (x_5 v x_1 v x_2) ^ (-x_1 v x_5 v x_3)]
8,19,16,0.1704413890838623,0.8538494110107422,[(x_4 v x_7) ^ (-x_1 v x_6 v -x_7) ^ (x_3 v x_7 v x_2) ^ (x_1 v -x_7 v -x_2) ^ (x_3 v x_6 v x_1) ^ (x_4 v -x_6) ^ (x_7 v x_5) ^ (x_2 v -x_0) ^ (-x_5 v x_2) ^ (-x_1) ^ (x_0 v x_1) ^ (-x_0 v -x_4 v -x_3) ^ (-x_0 v x_4 v -x_6) ^ (-x_1 v -x_7 v -x_6) ^ (x_1 v -x_4 v -x_2) ^ (x_0 v x_6 v -x_1) ^ (x_1 v x_7) ^ (x_4 v x_5 v -x_6) ^ (-x_7 v -x_3)]
9,17,1,0.05177760124206543,0.17115306854248047,[(-x_7 v -x_2 v x_8) ^ (x_0 v -x_4 v -x_7) ^ (x_1 v -x_3 v -x_0) ^ (-x_1 v -x_5 v -x_2) ^ (x_0 v -x_7 v x_2) ^ (x_0 v x_4 v x_2) ^ (x_6 v x_4 v -x_0) ^ (-x_2 v x_6 v -x_5) ^ (x_6 v x_5 v -x_0) ^ (x_6 v -x_7 v -x_5) ^ (x_1 v x_2 v -x_3) ^ (x_0 v -x_7 v x_4) ^ (x_3 v -x_4 v -x_8) ^ (-x_8 v -x_0) ^ (-x_1 v x_7 v x_2) ^ (x_8 v x_7 v x_4) ^ (-x_1 v x_4 v x_3)]
9,18,23,0.43961620330810547,1.293701171875,[(x_0 v x_4 v x_5) ^ (-x_1 v x_3 v x_8) ^ (x_1 v -x_7 v -x_5) ^ (-x_4 v x_2 v -x_6) ^ (-x_1 v -x_3) ^ (x_3 v -x_2) ^ (x_1 v x_4 v -x_8) ^ (x_6 v x_8 v -x_3) ^ (x_0 v x_7 v x_3) ^ (-x_5 v x_2 v x_8) ^ (-x_2 v x_7 v -x_0) ^ (-x_4 v -x_2 v x_8) ^ (x_3 v x_6 v -x_8) ^ (x_1 v -x_2 v x_4) ^ (-x_1 v -x_8) ^ (x_3 v -x_4 v -x_8) ^ (-x_2 v -x_3) ^ (-x_2 v x_5)]
10,17,1,0.049283504486083984,0.16492080688476562,[(x_6 v -x_4 v x_7) ^ (x_0 v -x_3 v -x_6) ^ (x_0 v -x_9 v x_2) ^ (-x_7 v -x_5 v -x_0) ^ (x_0 v -x_7 v -x_6) ^ (x_0 v x_2 v x_3) ^ (-x_9 v -x_7 v -x_6) ^ (-x_9 v x_5 v -x_8) ^ (-x_2 v x_5 v -x_0) ^ (x_0 v x_3 v x_8) ^ (x_5 v -x_8 v -x_0) ^ (x_1 v -x_2 v x_5) ^ (-x_1 v -x_9 v -x_2) ^ (-x_1 v -x_8 v -x_0) ^ (x_0 v x_7 v -x_3) ^ (x_0 v x_3 v x_2) ^ (-x_7 v -x_2)]
10,26,32,3.7536673545837402,2.902073860168457,[(x_3 v x_7 v -x_0) ^ (x_0 v -x_4 v x_2) ^ (x_5 v -x_4 v x_2) ^ (x_9 v -x_2 v x_7) ^ (x_3 v -x_9 v x_2) ^ (x_3 v -x_4 v -x_8) ^ (x_1 v -x_3 v -x_0) ^ (x_9 v x_4 v x_5) ^ (-x_0 v -x_5 v x_4) ^ (x_3 v -x_0 v -x_6) ^ (-x_4 v x_5 v -x_3) ^ (x_0 v x_1 v -x_8) ^ (x_0 v -x_5) ^ (-x_1 v -x_8 v -x_0) ^ (-x_1 v x_9 v -x_0) ^ (x_3 v x_6 v x_9) ^ (x_9 v x_2) ^ (x_0 v x_6 v -x_3) ^ (-x_9 v -x_2 v -x_5) ^ (-x_4 v x_2 v -x_6) ^ (x_0 v x_6 v x_5) ^ (-x_1 v x_4 v x_8) ^ (x_6 v -x_5 v -x_0) ^ (-x_1 v -x_5) ^ (-x_1 v x_9 v -x_7) ^ (x_6 v x_8)]
